source,target,spearman,pval,weight
AIG,CAG,0.8924811147948277,1.9213565699065487e-124,2.4411789889423128
AIG,GS,0.907757413967376,1.3012762838505963e-135,2.478757468771316
AIG,JPM,0.9099707149399124,2.165267536165368e-137,2.484249780915435
AIG,OXY,0.8930880921289585,7.460712752264879e-125,2.442661179039548
AIG,VIAC,0.8961657566896334,5.634253801077207e-127,2.4501904511278347
AIG,WMT,0.9079959103817328,8.411194685551466e-136,2.479348714041814
AIG,XRAY,0.9034513359500332,2.817974168953419e-132,2.468106693716372
AIZ,AIZ,1.0,0.0,2.718281828459045
AJG,AJG,1.0,0.0,2.718281828459045
AKAM,AKAM,1.0,0.0,2.718281828459045
ALB,ALB,1.0,0.0,2.718281828459045
ALGN,ALGN,1.0,0.0,2.718281828459045
ALGN,LIN,0.9187163902944088,6.716792752829219e-145,2.5060715067744295
ALK,AAL,0.946764404200581,2.4945668546561382e-176,2.5773568684183856
ALK,ABMD,0.9192949680924404,1.999619669073889e-145,2.5075218836459974
ALK,ALK,1.0,0.0,2.718281828459045
ALK,AMGN,0.9047937740052708,2.674044705938906e-133,2.4714221989987184
ALK,BKNG,0.912070924205039,4.022707405911567e-139,2.4894727080223444
ALK,CCL,0.9335007058600784,9.5148036602524e-160,2.5433972970172505
ALK,DAL,0.9359663537889736,1.4820663340323062e-162,2.5496761568428763
ALK,DXC,0.9067099992947756,8.721553252537247e-135,2.476162541048629
ALK,KHC,0.9277578230684824,1.3175399856039946e-153,2.52883272578988
ALK,LUV,0.9694250056537064,4.451146200090399e-218,2.6364280921972365
ALK,NCLH,0.8988194047936433,7.36185715704505e-129,2.4567010289436304
ALK,RCL,0.9254790103607328,2.6136128181908235e-151,2.5230765507519677
ALK,SYY,0.8902150175639046,6.250313287700507e-123,2.4356533032304517
ALK,UAL,0.944158301473187,9.313471965763512e-173,2.5706487564652245
ALL,ALL,1.0,0.0,2.718281828459045
ALL,CDAY,0.8961141144584321,6.123358947528274e-127,2.4500639210932453
ALL,DISH,0.9008326818111604,2.5264454254402906e-130,2.461652030860982
ALL,GS,0.9203279305501264,2.246952721172424e-146,2.51011339785164
ALL,HAL,0.9134302213461006,2.889922465632066e-140,2.492858942084858
ALL,HII,0.9047209007107924,3.0414335087577096e-133,2.4712421048831357
ALL,HUM,0.8902735615688877,5.7180965247062975e-123,2.435795900303634
ALL,OXY,0.8913831439213432,1.0484212976728404e-123,2.438500116446603
ALL,PENN,0.907869110758048,1.0609094607569388e-135,2.479034353488711
ALL,PNC,0.8962851348075929,4.647185724045818e-127,2.450482967712225
ALL,T,0.8962866207541773,4.636051019833423e-127,2.4504866090017265
ALL,ZBH,0.924076119968636,6.244957401294902e-150,2.5195394325750637
ALLE,ALLE,1.0,0.0,2.718281828459045
ALLE,BA,0.8901031487351037,7.407911027651505e-123,2.4353808447881415
AMAT,AMAT,1.0,0.0,2.718281828459045
AMAT,AVGO,0.891172211911416,1.4494402276462628e-123,2.437985812959274
AMAT,KLAC,0.9129489195331664,7.3784699531532805e-140,2.4916594132475014
AMCR,AMCR,1.0,0.0,2.718281828459045
AMD,AMD,1.0,0.0,2.718281828459045
AMD,COST,0.8974764478797419,6.711527497420418e-128,2.453403999691062
AMD,DPZ,0.8997305641078537,1.614565295466263e-129,2.4589404950686564
AMD,KEYS,0.9132837867592364,3.845827803389037e-140,2.4924939280415557
AMD,LRCX,0.8951819840937185,2.7308110719876354e-126,2.4477812061761304
AMD,MU,0.8925809521248722,1.6451424012972658e-124,2.441422721901351
AMD,NVDA,0.913411030718325,3.000287164346888e-140,2.4928111030158355
AMD,PFE,0.8953126827551089,2.2162553703456752e-126,2.4481011488107356
AMD,QCOM,0.9342197198413896,1.4824329207785732e-160,2.5452266928356067
AMD,TER,0.9227723292370388,1.1294480932324712e-148,2.516256620929706
AMD,TSCO,0.8992476256533158,3.6148667233262455e-129,2.457753264848806
AMD,VRSK,0.8916563303217474,6.885306565238819e-124,2.4391663725177053
AMD,VRSN,0.922303778120716,3.157357271513176e-148,2.515077902247557
AMD,XLNX,0.9673489151080922,4.1528761252818415e-213,2.6309603065338103
AME,AME,1.0,0.0,2.718281828459045
AME,CTAS,0.8976482493690731,5.067305605109377e-128,2.453825534361245
AMGN,AMGN,1.0,0.0,2.718281828459045
AMGN,BIIB,0.8947810774486833,5.1721733602312296e-126,2.446800071109907
AMGN,CCL,0.905857813061768,4.033122027393205e-134,2.47405328828619
AMGN,RCL,0.9088071349682196,1.889549749771891e-136,2.481360838709274
AMP,AMP,1.0,0.0,2.718281828459045
AMT,AMT,1.0,0.0,2.718281828459045
AMZN,AMZN,1.0,0.0,2.718281828459045
ANET,ANET,1.0,0.0,2.718281828459045
ANSS,ANSS,1.0,0.0,2.718281828459045
ANTM,ANTM,1.0,0.0,2.718281828459045
AON,AON,1.0,0.0,2.718281828459045
AOS,ADP,0.9361094393640872,1.0104655494587124e-162,2.5500410048237505
AOS,AOS,1.0,0.0,2.718281828459045
AOS,APH,0.9138075818510332,1.3805583495627842e-140,2.493799826109039
AOS,FAST,0.9643469927793809,1.8342168287649342e-206,2.6230742106894276
AOS,FFIV,0.9344077923695998,9.08380776281695e-161,2.545705425071376
AOS,IR,0.9199751925822832,4.755756004396001e-146,2.509228141693534
AOS,ITW,0.95274410688872,2.9577647883815667e-185,2.592814867270662
AOS,JCI,0.9378104449204612,9.929720683340932e-165,2.5543823300042914
AOS,JNPR,0.9124044254166344,2.1166863956005047e-139,2.490303088645479
AOS,LKQ,0.898136743268967,2.2728552041544702e-128,2.4550245059875055
AOS,OTIS,0.8940738968092766,1.5857603255738129e-125,2.4450703531547306
AOS,POOL,0.9351062091851504,1.454799310965892e-161,2.547484009572049
AOS,STZ,0.9506385043179826,5.4955317228300814e-182,2.5873611732916624
AOS,TT,0.9330086601497544,3.355450457166336e-159,2.542146137126775
AOS,WHR,0.941719320964584,1.4451452013648348e-169,2.564386633955365
APA,APA,1.0,0.0,2.718281828459045
APA,HWM,0.9073435959223676,2.766770933567559e-135,2.4777319264101414
APA,UAL,0.906726526635914,8.465111714709287e-135,2.4762034657698466
APD,APD,1.0,0.0,2.718281828459045
APH,ADP,0.8900483486743774,8.05035992211791e-123,2.43524738942667
APH,AOS,0.9138075818510332,1.3805583495627842e-140,2.493799826109039
APH,APH,1.0,0.0,2.718281828459045
APH,CF,0.9472223559549764,5.6330284139757404e-177,2.578537443820637
APH,CTVA,0.9021831368868546,2.52610245441392e-131,2.464978627044434
APH,FAST,0.9331047593014898,2.6252969428812756e-159,2.542390446952936
APH,FFIV,0.917848025924184,4.070346367820392e-144,2.503896268155256
APH,GM,0.9342321559339342,1.435256379017386e-160,2.5452583457071243
APH,IR,0.8919013861144393,4.7173451778400045e-124,2.4397641776114387
APH,ITW,0.9264127585496488,3.0535617788001938e-152,2.525433569171315
APH,JCI,0.94804452669515,3.76624397926642e-178,2.5806583135984567
APH,JNPR,0.903749471082269,1.675318270887688e-132,2.4688426327310617
APH,LKQ,0.909848605091355,2.7217344314525354e-137,2.4839464480712494
APH,OTIS,0.94527888549175,2.8486651159224287e-174,2.5735309989749005
APH,POOL,0.9074057032267974,2.4711756441263183e-135,2.477885816439988
APH,SEE,0.9152242092150192,8.362934131918303e-142,2.497335114685049
APH,SNA,0.898002081388088,2.836200491044868e-128,2.454693930028415
APH,STZ,0.9157387077820291,2.9841631653639937e-142,2.4986203206128517
APH,TEL,0.952270497334672,1.656179861103817e-184,2.591587176123721
APH,TT,0.9005204569640208,4.282275973714442e-130,2.46088356190573
APH,ULTA,0.9149919662952356,1.328751174059862e-141,2.4967551936302224
APH,WHR,0.925391898362266,3.1886702443820614e-151,2.522856770084253
APTV,APTV,1.0,0.0,2.718281828459045
ARE,ARE,1.0,0.0,2.718281828459045
ATO,ATO,1.0,0.0,2.718281828459045
ATVI,ATVI,1.0,0.0,2.718281828459045
ATVI,CMI,0.8916368639064887,7.094991512744977e-124,2.43911889115436
ATVI,FLT,0.9294747226929037,2.179976325457416e-155,2.533178207057144
ATVI,GPN,0.9193540386491372,1.7660428017426318e-145,2.5076700087344665
ATVI,HAL,0.89109536193206,1.6307120605242384e-123,2.437798460998967
ATVI,HII,0.8948331310402716,4.7612542269419416e-126,2.4469274391564606
ATVI,HUM,0.8931072420477294,7.240666697156978e-125,2.4427079562506
ATVI,JKHY,0.912722423076303,1.1447702532210829e-139,2.491095125125733
ATVI,KMI,0.9088230341522674,1.834796209889578e-136,2.4814002906355634
ATVI,LEG,0.936905224361063,1.1810814356929896e-163,2.5520710968483167
ATVI,MKTX,0.8934681164909154,4.114343243293109e-125,2.4435896262006858
ATVI,MOS,0.9051744676409856,1.3625684387709498e-133,2.472363232812468
ATVI,PAYC,0.9059744966082875,3.2730826287645677e-134,2.4743419864409804
ATVI,PENN,0.9072672276914218,3.178795465044472e-135,2.477542713631178
ATVI,PM,0.9067575001389108,8.004533078678399e-135,2.476280163653109
ATVI,PYPL,0.9243877820398848,3.101977602737184e-150,2.5203247998314486
ATVI,TFX,0.8990751886958839,4.815547534609616e-129,2.4573294938916344
ATVI,TWTR,0.9030202798697812,5.958915876064947e-132,2.467043030585035
ATVI,WU,0.916023528687789,1.682049690184369e-142,2.499332081273065
AVB,AVB,1.0,0.0,2.718281828459045
AVB,ESS,0.9013496370873068,1.0505009111734153e-130,2.4629249238523987
AVGO,ACN,0.8919862058982249,4.137737445191307e-124,2.439971126658034
AVGO,ADI,0.8965699363551897,2.9323857808548902e-127,2.4511809684449153
AVGO,AMAT,0.891172211911416,1.4494402276462628e-123,2.437985812959274
AVGO,AVGO,1.0,0.0,2.718281828459045
AVGO,KLAC,0.9466379754185036,3.7532045607145184e-176,2.5770310369262064
AVY,AVY,1.0,0.0,2.718281828459045
AVY,HWM,0.9148052277261346,1.9262476249445286e-141,2.4962889966678
AWK,AWK,1.0,0.0,2.718281828459045
AXP,AXP,1.0,0.0,2.718281828459045
