source,target,spearman,pval,weight
ADP,FAST,0.9625833346292888,1.6987079669336144e-208,2.618452081605354
ADP,FFIV,0.9410416935905672,2.036405479418533e-173,2.562649523997734
ADP,IR,0.9292541233379524,1.734814057832542e-159,2.532619451211546
ADP,ITW,0.9427958511241832,9.819283323790975e-176,2.567148759996929
ADP,JCI,0.9211943567009254,2.7538315382978607e-151,2.5122891681770523
ADP,JNPR,0.8975408309660017,1.6549600690868161e-131,2.4535619624974165
ADP,PG,0.903949306873966,2.3826089814292e-136,2.469336045152238
ADP,POOL,0.9106973698911756,7.864905968502959e-142,2.4860556293538045
ADP,QCOM,0.9299103072610256,3.3828121718123105e-160,2.5342818607422473
ADP,SNPS,0.9032275849175448,8.692117817160561e-136,2.467554514073048
ADP,STZ,0.9283109240212288,1.7696017607154271e-158,2.530231812462269
ADP,TSCO,0.921226194607403,2.5662125974393422e-151,2.512369155477941
ADP,TT,0.9281946841150488,2.350837333287292e-158,2.5299377156469993
ADP,VRSK,0.8924233619322189,7.248001025452133e-128,2.4410380079386282
ADP,VRSN,0.9205273237233922,1.1995455707150291e-150,2.5106139472287006
ADP,ZTS,0.9072501470254468,5.6015834764495286e-139,2.477500395913056
ADSK,ADSK,1.0,0.0,2.718281828459045
AEE,AEE,1.0,0.0,2.718281828459045
AEP,AEP,1.0,0.0,2.718281828459045
AES,AES,1.0,0.0,2.718281828459045
AFL,AFL,1.0,0.0,2.718281828459045
AIG,AIG,1.0,0.0,2.718281828459045
AIG,CAG,0.892205564617087,1.025865183520042e-127,2.4405064143062987
AIG,GS,0.906600976442308,1.8750331896610467e-138,2.4758925974605077
AIG,JPM,0.9038689038887326,2.7535334820105154e-136,2.4691375111441336
AIG,VIAC,0.8946906205135297,1.862508496296916e-129,2.4465787510846573
AIG,WMT,0.9037909890995688,3.1676008896340408e-136,2.468945136310056
AIZ,AIZ,1.0,0.0,2.718281828459045
AJG,AJG,1.0,0.0,2.718281828459045
AKAM,AKAM,1.0,0.0,2.718281828459045
ALB,ALB,1.0,0.0,2.718281828459045
ALGN,ALGN,1.0,0.0,2.718281828459045
ALGN,LIN,0.923612286050112,1.1886919184221672e-153,2.5183710557145327
ALK,AAL,0.927663650556415,8.552565740457305e-158,2.528594590472571
ALK,ABMD,0.9136660479357764,2.2118917362869743e-144,2.4934468938323158
ALK,ALK,1.0,0.0,2.718281828459045
ALK,BKNG,0.9089014303381906,2.4890067630844244e-140,2.4815948305795934
ALK,CCL,0.933009463797379,1.2024353642342202e-163,2.5421481801173007
ALK,DAL,0.9263805182598296,1.861424700445916e-156,2.5253521497736253
ALK,KHC,0.9292547765397126,1.7320067928899708e-159,2.5326211055235692
ALK,LUV,0.9685403589334642,5.758996220510448e-222,2.6340968160622515
ALK,NCLH,0.8967344919239435,6.385447907920307e-131,2.451584357112312
ALK,RCL,0.9265419552106432,1.2672921808945512e-156,2.52575986783391
ALK,UAL,0.937399815693948,7.937216119102832e-169,2.5533336412897563
ALL,ALL,1.0,0.0,2.718281828459045
ALL,CDAY,0.902829847398576,1.7660104758324624e-135,2.4665732702143846
ALL,DISH,0.9083360017507988,7.277058447152502e-140,2.4801920625400085
ALL,GS,0.9200011626170652,3.794792793051038e-150,2.5092933072818226
ALL,HAL,0.9200824702861188,3.177762793473544e-150,2.509497340366224
ALL,HII,0.911465927945464,1.7535712537413793e-142,2.487967041852803
ALL,HUM,0.8961230693261246,1.7644838751401628e-130,2.450085861189732
ALL,OXY,0.8995011865506146,5.9224507326617165e-133,2.4583765339869816
ALL,PENN,0.9136828805693964,2.1381532445791553e-144,2.493488865463576
ALL,PNC,0.9042755868388458,1.3227671596822979e-136,2.4701418714856715
ALL,PYPL,0.8911725518903812,5.275817956092041e-127,2.4379866418233087
ALL,TWTR,0.8965049787726205,9.35871222933008e-131,2.4510217508260177
ALL,ZBH,0.929854376135664,3.8910124598355607e-160,2.534140119469704
ALLE,ALLE,1.0,0.0,2.718281828459045
AMAT,AMAT,1.0,0.0,2.718281828459045
AMAT,AVGO,0.8949007191748108,1.3210246873734749e-129,2.4470928280065247
AMAT,KLAC,0.9188467822697318,4.619650746514111e-149,2.5063982996936227
AMCR,AMCR,1.0,0.0,2.718281828459045
AMD,AMD,1.0,0.0,2.718281828459045
AMD,COST,0.8977709326336044,1.1234424460953056e-131,2.4541265961556356
AMD,DPZ,0.900943344849798,4.890286356512595e-134,2.4619244598284165
AMD,KEYS,0.9173609619600224,1.0918175597361321e-147,2.5026770074661147
AMD,LRCX,0.8987944673779124,1.9829490125670864e-132,2.4566397659326187
AMD,MU,0.8964019660952975,1.1107244283407304e-130,2.450769277517487
AMD,NVDA,0.918139764389762,2.096288438420504e-148,2.5046268575758304
AMD,PFE,0.8981834051281201,5.597177443605952e-132,2.455139064667961
AMD,QCOM,0.9360976762820048,2.9812268153327613e-167,2.5500110086585215
AMD,TER,0.925320095197297,2.27624680989638e-155,2.5226756274867808
AMD,TSCO,0.9016646559554649,1.3845366110292505e-134,2.4637009138936037
AMD,VRSK,0.890334347748892,1.9683937982735714e-126,2.4359439675318586
AMD,VRSN,0.922083700985732,3.7933532673988647e-152,2.5145244520116736
AMD,XLNX,0.9680104263238876,1.1472434023217809e-220,2.632701292062134
AME,AME,1.0,0.0,2.718281828459045
AME,CTAS,0.9011005774532056,3.717355715767543e-134,2.462311585054184
AMGN,AMGN,1.0,0.0,2.718281828459045
AMGN,BIIB,0.8919978784108212,1.427764784295316e-127,2.439999607417966
AMGN,CCL,0.9063326893061444,3.081298189600962e-138,2.4752284364230017
AMGN,RCL,0.9102267290375352,1.9584579208225756e-141,2.4848858653011763
AMP,AMP,1.0,0.0,2.718281828459045
AMT,AMT,1.0,0.0,2.718281828459045
AMZN,AMZN,1.0,0.0,2.718281828459045
ANET,ANET,1.0,0.0,2.718281828459045
ANSS,ANSS,1.0,0.0,2.718281828459045
ANTM,ANTM,1.0,0.0,2.718281828459045
AON,AON,1.0,0.0,2.718281828459045
AOS,ADP,0.9388652666479508,1.2201612765314311e-170,2.5570781695513993
AOS,AOS,1.0,0.0,2.718281828459045
AOS,APH,0.9069775752434625,9.312988167961643e-139,2.476825191240326
AOS,CDNS,0.8909653617053555,7.3125640455634475e-127,2.4374815672449537
AOS,DPZ,0.8941461034837349,4.5215205690852246e-129,2.4452469099279606
AOS,FAST,0.9661780080047616,2.4522032749389677e-216,2.6278814992727146
AOS,FFIV,0.936986818727207,2.527910894834085e-168,2.5522793399674355
AOS,GWW,0.8932985682186048,1.7809712654600747e-128,2.4431753549218094
AOS,IR,0.9227071426394992,9.319137911294837e-153,2.5160926000680903
AOS,ITW,0.9559316499816204,7.906730510526e-196,2.6010927624568985
AOS,JCI,0.93104320980454,1.9368792480255867e-161,2.5371545820576533
AOS,JNPR,0.9181171306628456,2.1997856615359662e-148,2.504570169177046
AOS,LKQ,0.8961853728236019,1.5913397186557605e-130,2.450238514863383
AOS,POOL,0.9388416033349506,1.3063272931997417e-170,2.5570176613262223
AOS,STZ,0.9514865607463754,2.0701074327523147e-188,2.589556332245014
AOS,TSCO,0.8908929099348802,8.19559854876789e-127,2.4373049737872376
AOS,TT,0.9336920972094032,1.986501451335353e-164,2.543884127843914
AOS,WHR,0.9453822183725792,2.748150169818264e-179,2.573796943087077
APA,APA,1.0,0.0,2.718281828459045
APA,HWM,0.8963238502126747,1.264634898849548e-130,2.450577840989483
APA,UAL,0.898466979530212,3.460911388223763e-132,2.455835377983927
APD,APD,1.0,0.0,2.718281828459045
APH,AOS,0.9069775752434625,9.312988167961643e-139,2.476825191240326
APH,APH,1.0,0.0,2.718281828459045
APH,CF,0.9467509139646624,3.0762488553343217e-181,2.5773220995007056
APH,FAST,0.9287845474124288,5.535227589478237e-159,2.5314304732683004
APH,FFIV,0.9087804226561184,3.133252214254734e-140,2.481294556709391
APH,GM,0.9380922106224696,1.1180860637858569e-169,2.555102168742874
APH,IR,0.8953638552990117,6.1791034530406905e-130,2.448226427579641
APH,ITW,0.9215692477641968,1.197493803990857e-151,2.5132311794993356
APH,JCI,0.9497064926072124,1.238637401023044e-185,2.5849508457793733
APH,JNPR,0.894033736351323,5.426379006835533e-129,2.444972159981374
APH,LKQ,0.9119125826843092,7.28459141536512e-143,2.48907855233437
APH,OTIS,0.9400258053324156,4.15228150417321e-172,2.560047480353122
APH,POOL,0.9047388505217646,5.715235430796145e-137,2.471286463609899
APH,SEE,0.916544958121248,6.047017150292595e-147,2.50063564641331
APH,SNA,0.9008140852944876,6.124856620087579e-134,2.4616062531336023
APH,STZ,0.9160471581103524,1.7033995814873521e-146,2.4993911397446955
APH,TEL,0.9494587506152128,2.960804367588378e-185,2.5843105242281625
APH,TT,0.8992952678950454,8.42983296411513e-133,2.457870360513289
APH,ULTA,0.91287819731062,1.0730507615708472e-143,2.491483203787004
APH,WHR,0.921177337922978,2.8596510695169835e-151,2.5122464124493855
APTV,APTV,1.0,0.0,2.718281828459045
ARE,ARE,1.0,0.0,2.718281828459045
ATO,ATO,1.0,0.0,2.718281828459045
ATVI,ATVI,1.0,0.0,2.718281828459045
ATVI,CMI,0.8966142881219312,7.801764908308552e-131,2.4512896850623385
ATVI,DISH,0.8939600865319464,6.11489938970031e-129,2.4447920948543738
ATVI,FLT,0.9347747656905052,1.097984623513127e-165,2.5466398024805663
ATVI,GPN,0.9200312217520156,3.5539096311679234e-150,2.509368735601625
ATVI,HAL,0.8993837614327079,7.243883488959082e-133,2.4580878757808127
ATVI,HII,0.901906347725739,9.051568815481384e-135,2.464296442093142
ATVI,HUM,0.8967190626842877,6.551862795544356e-131,2.451546531321542
ATVI,JKHY,0.9191121484664572,2.6093359569020467e-149,2.5070635013350024
ATVI,KMI,0.9157384756348972,3.2271457057159158e-146,2.4986197405653776
ATVI,LEG,0.9403120187458348,1.7852717689663558e-172,2.5607803051481293
ATVI,MKTX,0.9007703064490296,6.60961600193102e-134,2.461498489212775
ATVI,MOS,0.9086059068550294,4.364398800295454e-140,2.480861569384753
ATVI,PAYC,0.9074078368744192,4.1713123350993525e-139,2.477891103380808
ATVI,PENN,0.913796939452662,1.698954424382148e-144,2.4937732862390556
ATVI,PM,0.8928458597537668,3.686537214010959e-128,2.442069559078008
ATVI,PYPL,0.9298735233110162,3.709023235003464e-160,2.5341886415594677
ATVI,TFX,0.9069383906877247,1.0017787614177924e-138,2.4767281398470375
ATVI,TWTR,0.9105099682509455,1.1316824556356224e-141,2.4855897821027932
ATVI,WU,0.9143445397103664,5.608250218728445e-145,2.4951392511004777
AVB,AVB,1.0,0.0,2.718281828459045
AVB,ESS,0.9020080052932552,7.567355471065587e-135,2.464546969208857
AVGO,ACN,0.8982481290623787,5.0161562106885335e-132,2.455297976070008
AVGO,AMAT,0.8949007191748107,1.3210246873736999e-129,2.4470928280065243
AVGO,AVGO,1.0,0.0,2.718281828459045
AVGO,KLAC,0.9474146132103411,3.336508574856134e-182,2.5790332340105446
AVY,AVY,1.0,0.0,2.718281828459045
AVY,HWM,0.9136156731878996,2.448010428113388e-144,2.493321290237346
AWK,AWK,1.0,0.0,2.718281828459045
AXP,AXP,1.0,0.0,2.718281828459045
AXP,FIS,0.9066293111954948,1.7790469215393242e-138,2.4759627522600787
AXP,MA,0.9356378670025354,1.0532719727594208e-166,2.5488387594601742
AZO,AZO,1.0,0.0,2.718281828459045
BA,BA,1.0,0.0,2.718281828459045
BAC,BAC,1.0,0.0,2.718281828459045
BAC,JPM,0.9265894153538412,1.1316645514491713e-156,2.5258797436035594
BAC,PNC,0.8923918550143823,7.62190832073796e-128,2.4409610995662554
BAX,BAX,1.0,0.0,2.718281828459045
BBWI,BBWI,1.0,0.0,2.718281828459045
BBY,A,0.8989097649385216,1.6291338898390692e-132,2.456923026834258
BBY,BBY,1.0,0.0,2.718281828459045
BDX,BDX,1.0,0.0,2.718281828459045
BEN,BEN,1.0,0.0,2.718281828459045
BEN,CERN,0.8998057928298802,3.5082872047201168e-133,2.4591254849778292
BEN,IPGP,0.900787828470186,6.411181016299633e-134,2.461541620019248
BIIB,AMGN,0.8919978784108212,1.427764784295316e-127,2.439999607417966
BIIB,BIIB,1.0,0.0,2.718281828459045
BIIB,CCL,0.9028708152444662,1.6418888018167212e-135,2.4666743224779286
BIIB,NCLH,0.9033738911405754,6.69177739383305e-136,2.4679155590650446
BIIB,RCL,0.923818836387374,7.403613116214779e-154,2.518891279829825
BIO,BIO,1.0,0.0,2.718281828459045
BK,BK,1.0,0.0,2.718281828459045
BKNG,ALK,0.9089014303381906,2.4890067630844244e-140,2.4815948305795934
BKNG,BKNG,1.0,0.0,2.718281828459045
BKNG,CCL,0.9581997752171904,6.486508324108698e-200,2.606999062173176
BKNG,COO,0.8921653225842064,1.0937830482846983e-127,2.4404082053430063
BKNG,DIS,0.9000449258858655,2.323032804621848e-133,2.459713613487785
BKNG,NCLH,0.953196928275206,3.5277685334702616e-191,2.5939892151586137
BKNG,RCL,0.949254586911384,6.051641737330188e-185,2.5837829556766994
BKNG,SYY,0.9252316896342826,2.7999139324713724e-155,2.52245261878538
BKNG,TTWO,0.9037591284319488,3.35423911315364e-136,2.4688664753227987
BKR,BKR,1.0,0.0,2.718281828459045
BLK,BLK,1.0,0.0,2.718281828459045
BLL,BLL,1.0,0.0,2.718281828459045
BMY,BMY,1.0,0.0,2.718281828459045
BMY,HON,0.9109051920852024,5.248490128000114e-142,2.48657234057934
BMY,UAL,0.8906157707037532,1.2666178371306119e-126,2.436629594552144
BR,BR,1.0,0.0,2.718281828459045
BRO,BRO,1.0,0.0,2.718281828459045
BSX,BSX,1.0,0.0,2.718281828459045
BSX,CDAY,0.9217444061205708,8.103561467335868e-152,2.5136714314977073
BSX,CTXS,0.9187392652761396,5.819433628752709e-149,2.506128833770038
BSX,DIS,0.9152870862130724,8.179021083907688e-146,2.497492144556925
BSX,DISH,0.9400303272895998,4.0974070977576865e-172,2.5600590568043917
BSX,FLT,0.9479111480572552,6.213332294772192e-183,2.5803141318614724
BSX,GPN,0.9345291859078612,2.1267541648506254e-165,2.5460144760183114
BSX,HAL,0.9391677302652522,5.08837965909006e-171,2.557851709642254
BSX,HII,0.9133046815362964,4.572564002870416e-144,2.4925460086906104
BSX,HUM,0.9428520395857612,8.253985529176567e-176,2.567293008188899
BSX,JKHY,0.9056514435375266,1.0804353352209154e-137,2.473542771765476
BSX,KMI,0.915462245760589,5.7048575932375685e-146,2.497929642465741
BSX,MDT,0.9561648357014584,3.075805159744884e-196,2.601699370868538
BSX,MGM,0.8981026296402529,6.416918069507827e-132,2.4549407576215128
BSX,MTCH,0.9428872118514584,7.403151215187383e-176,2.5673833072887087
BSX,PAYC,0.9187485930095892,5.704099138859095e-149,2.5061522103808147
BSX,PENN,0.9315903835498672,4.781280304107236e-162,2.5385432263129846
BSX,PTC,0.9117902816971584,9.269843316038944e-143,2.4887741541848
BSX,PYPL,0.9218029483055056,7.110563569304144e-152,2.513818591623011
BSX,SLB,0.9123530688862208,3.049029092351041e-143,2.4901751986031906
BSX,SYK,0.9105899194021908,9.690504234525629e-142,2.4857885158117843
BSX,TFX,0.959656631409934,1.164562556278319e-202,2.6107998528318417
BSX,TWTR,0.935588388559061,1.2058209553425476e-166,2.5487126500055646
BSX,VIAC,0.891389773823585,3.744006215773182e-127,2.4385162835175844
BSX,WU,0.8958062346764741,2.980431555748862e-130,2.4493097120562504
